店舗名,ジャンル,サブジャンル,住所,緯度,経度,サンプル拠点からの距離(m),Google評価,口コミ件数,価格帯,営業時間,定休日,電話番号,公式サイト/SNS,特徴,深夜営業,競合度,ターゲット,備考,拠点住所,拠点緯度,拠点経度
サンプルBar N,BAR,ワインバー,（ダミー住所）大阪府サンプル市サンプル4丁目13-5,34.727128,135.497921,286,4.0,19,"￥4,000以上",17:00-翌2:00,月曜日,06-0000-1013,,,×,高,サラリーマン・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデルダイニング T,レストラン,,（ダミー住所）大阪府サンプル市サンプル1丁目45-1,34.72552,135.498067,311,3.9,317,"￥2,000-4,000",11:00-23:00,水曜日,06-0000-1045,,カラオケ・ダーツ,×,中,デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモLounge I,BAR,ワインバー,（ダミー住所）大阪府サンプル市サンプル5丁目34-8,34.724997,135.503935,339,3.2,296,"￥1,000-2,000",17:00-翌2:00,不定休,06-0000-1034,,,○,中,サラリーマン・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプルキッチン B,レストラン,,（ダミー住所）大阪府サンプル市サンプル3丁目27-1,34.723848,135.501899,348,3.8,297,"￥1,000-2,000",11:00-23:00,不定休,06-0000-1027,,,×,中,近隣住民,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空焼鳥 P,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル2丁目41-6,34.728258,135.497597,349,3.7,63,"￥4,000以上",17:00-翌2:00,不定休,06-0000-1041,,ダーツ,○,中,デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプル酒場 D,居酒屋,焼鳥,（ダミー住所）大阪府サンプル市サンプル4丁目3-4,34.729534,135.498412,379,3.7,25,"￥1,000未満",17:00-翌2:00,,06-0000-1003,,,×,中,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
ダミーダイニング Z,レストラン,,（ダミー住所）大阪府サンプル市サンプル1丁目25-8,34.72772,135.505088,382,3.9,78,"￥1,000-2,000",11:00-23:00,火曜日,06-0000-1025,,,○,中,2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テストLounge O,BAR,,（ダミー住所）大阪府サンプル市サンプル5丁目14-6,34.724125,135.503962,408,3.1,306,"￥2,000-4,000",17:00-翌2:00,火曜日,06-0000-1014,,,○,中,サラリーマン・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空喫茶 J,カフェ,,（ダミー住所）大阪府サンプル市サンプル1丁目35-9,34.730463,135.502244,412,3.8,491,"￥4,000以上",11:00-23:00,水曜日,06-0000-1035,,,×,中,女性・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデル喫茶 E,カフェ,,（ダミー住所）大阪府サンプル市サンプル1丁目30-4,34.730715,135.502115,436,3.9,245,"￥2,000-4,000",11:00-23:00,水曜日,06-0000-1030,,,○,中,女性・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデルBar J,BAR,ワインバー,（ダミー住所）大阪府サンプル市サンプル5丁目9-1,34.725743,135.505722,447,4.7,9,"￥1,000未満",17:00-翌2:00,火曜日,06-0000-1009,,テラス・喫煙,×,中,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデルダイニング K,レストラン,,（ダミー住所）大阪府サンプル市サンプル2丁目36-1,34.731153,135.500284,479,3.9,442,"￥4,000以上",11:00-23:00,,06-0000-1036,,喫煙,○,中,デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空Bar U,BAR,ショットバー,（ダミー住所）大阪府サンプル市サンプル1丁目20-3,34.730184,135.504681,495,3.7,51,"￥1,000-2,000",17:00-翌2:00,,06-0000-1020,,ダーツ・個室,×,中,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空トラットリア S,イタリアン,,（ダミー住所）大阪府サンプル市サンプル5丁目44-9,34.731124,135.503035,505,3.5,14,"￥4,000以上",17:00-翌2:00,月曜日,06-0000-1044,,個室,×,低,女性・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモキッチン R,レストラン,,（ダミー住所）大阪府サンプル市サンプル4丁目43-8,34.722557,135.498057,554,3.6,61,"￥1,000-2,000",11:00-23:00,水曜日,06-0000-1043,,ダーツ,×,低,近隣住民,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空ダイニング K,レストラン,,（ダミー住所）大阪府サンプル市サンプル1丁目10-2,34.727266,135.494702,580,3.2,12,"￥1,000-2,000",11:00-23:00,不定休,06-0000-1010,,,○,低,2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモリストランテ D,イタリアン,,（ダミー住所）大阪府サンプル市サンプル5丁目29-3,34.730862,135.495949,641,4.4,98,"￥4,000以上",17:00-翌2:00,火曜日,06-0000-1029,,ダーツ,○,中,女性・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テストトラットリア T,イタリアン,,（ダミー住所）大阪府サンプル市サンプル5丁目19-2,34.732232,135.498264,645,3.5,58,"￥1,000未満",17:00-翌2:00,,06-0000-1019,,テラス,○,低,女性・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプルBar S,BAR,ダイニングバー,（ダミー住所）大阪府サンプル市サンプル4丁目18-1,34.732718,135.501697,650,3.2,396,"￥1,000未満",17:00-翌2:00,,06-0000-1018,,テラス,○,中,サラリーマン・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモキッチン F,レストラン,,（ダミー住所）大阪府サンプル市サンプル1丁目5-6,34.721345,135.498041,675,3.1,6,"￥1,000-2,000",11:00-23:00,,06-0000-1005,,ダーツ,×,低,近隣住民,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空ダイニング E,レストラン,,（ダミー住所）大阪府サンプル市サンプル5丁目4-5,34.728623,135.508144,677,3.4,10,"￥4,000以上",11:00-23:00,火曜日,06-0000-1004,,ダーツ,×,低,デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空酒場 C,居酒屋,,（ダミー住所）大阪府サンプル市サンプル3丁目2-3,34.720993,135.498769,688,3.8,15,"￥1,000-2,000",17:00-翌2:00,火曜日,06-0000-1002,,ダーツ,×,低,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデル焼鳥 Q,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル3丁目42-7,34.72553,135.508562,704,3.5,81,"￥2,000-4,000",17:00-翌2:00,月曜日,06-0000-1042,,,×,低,デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモ酒場 H,居酒屋,焼鳥,（ダミー住所）大阪府サンプル市サンプル3丁目7-8,34.725335,135.49345,715,4.4,94,"￥1,000-2,000",17:00-翌2:00,月曜日,06-0000-1007,,カラオケ・個室,○,中,サラリーマン・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
ダミーBar I,BAR,ダイニングバー,（ダミー住所）大阪府サンプル市サンプル4丁目8-9,34.730095,135.493715,758,3.1,339,"￥2,000-4,000",17:00-翌2:00,水曜日,06-0000-1008,,個室・ダーツ,○,中,サラリーマン・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプル酒場 G,居酒屋,焼鳥,（ダミー住所）大阪府サンプル市サンプル2丁目6-7,34.72025,135.503949,785,3.8,390,"￥2,000-4,000",17:00-翌2:00,不定休,06-0000-1006,,カラオケ・テラス,○,中,サラリーマン・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
ダミーLounge W,BAR,ショットバー,（ダミー住所）大阪府サンプル市サンプル3丁目22-5,34.728841,135.509373,792,3.6,182,"￥4,000以上",17:00-翌2:00,月曜日,06-0000-1022,,個室・テラス,×,中,サラリーマン・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデル串焼き H,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル4丁目33-7,34.724779,135.492746,793,4.7,16,"￥2,000-4,000",17:00-翌2:00,不定休,06-0000-1033,,喫煙・ダーツ,×,低,デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデル喫茶 M,カフェ,,（ダミー住所）大阪府サンプル市サンプル4丁目38-3,34.728223,135.492464,797,4.4,214,"￥1,000未満",11:00-23:00,火曜日,06-0000-1038,,,○,中,女性・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空焼鳥 X,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル4丁目23-6,34.723342,135.493462,797,3.3,25,"￥1,000未満",17:00-翌2:00,火曜日,06-0000-1023,,,×,低,近隣住民,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空ダイニング O,レストラン,,（ダミー住所）大阪府サンプル市サンプル1丁目40-5,34.72325,135.492443,884,4.7,13,"￥1,000未満",11:00-23:00,水曜日,06-0000-1040,,,○,低,2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモLounge L,BAR,ダイニングバー,（ダミー住所）大阪府サンプル市サンプル2丁目11-3,34.733864,135.506043,900,4.0,208,"￥1,000-2,000",17:00-翌2:00,不定休,06-0000-1011,,ダーツ,×,高,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テストカフェ A,カフェ,,（ダミー住所）大阪府サンプル市サンプル2丁目26-9,34.735015,135.499207,919,4.2,13,"￥1,000未満",11:00-23:00,,06-0000-1026,,,×,低,女性,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テスト酒場 R,居酒屋,,（ダミー住所）大阪府サンプル市サンプル3丁目17-9,34.722944,135.492188,920,4.0,125,"￥4,000以上",17:00-翌2:00,,06-0000-1017,,,○,高,サラリーマン・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テスト串焼き Y,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル5丁目24-7,34.718575,135.501003,925,4.8,40,"￥1,000未満",17:00-翌2:00,火曜日,06-0000-1024,,ダーツ・カラオケ,○,中,2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
